index,question,gold_v3,system_answer,status,archetype,difficulty,reason,confidence
71,青嶺不動産アセットマネジメントの会議録の中で、太字、下線、イタリックのすべてに該当する箇所を抽出してください。,"4,250,000円",わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが不一致(検証AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が検証AGを支持(両者とも該当なし(棄権)で一致),0.00
72,KSSにおいて、データエンジニアが担当するタスクIDはいくつありますか。,5,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
73,恒一会のPPで言及されている One-Hot Encoding のカテゴリ数閾値を実装設定から確認したうえで、その条件により One-Hot Encoding の対象となるカテゴリ列をすべて答えてください。,Gender,わかりません,ABSTAIN,enum_set,中（システム棄権）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が調査AGを支持(両者とも該当なし(棄権)で一致),0.00
74,青葉与信マネジメントの提案書_v1.pptxから提案書_v2.pptxに修正されたもののうち、案件遂行に関連する変更を挙げてください。,ビジネスアナリストの担当者が藤田 彩から井上 里奈に変更,わかりません,ABSTAIN,version_diff,高（システム棄権）,"調査AGと検証AGが不一致(列挙不一致 — 調査AG欠落: 1. スライド5「3. スコープ ― 対象範囲」において, ビジネスアナリストの担当者が「藤田 彩」から「井上 里奈」に変更された。, 各フェーズに番号が追加され, 案件遂行のステップがより明確になった。2. スライド9「5. 実施体制」において / 調査AG余剰: ビジネスアナリストが藤田彩氏から井上里奈氏に変更されています。, 実施体制のうち) → 決着不能: 第3判定「わかりません」がどちらの候補とも不一致 — 棄権",0.00
75,MINAMINOのPP内のPL案において、モデル構築は第何週に実施することになっていますか。,第4週,わかりません,ABSTAIN,fact_lookup,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
76,"AOMINEの契約条件において、契約単価が現状よりも2,000円高く、実績工数が11.2時間少なかった場合、税込請求金額は、実際の税込請求金額と比べていくら変動しますか。","79,200円の増加",わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
77,蒼泉会 ひがし丘総合病院のtrain.xlsxのSheet2において、黄色ハイライトされている数値に対応するデータの抽出条件と集計内容を答えてください。,children=3、smoker=noで抽出されたデータに対する合計 / age,わかりません,ABSTAIN,document_extract,中（システム棄権）,"調査AGと検証AGが不一致(列挙不一致 — 調査AG欠落: `蒼泉会 ひがし丘総合病院のtrain.xlsx`の`sheet2`において, 黄色ハイライトされている数値はセル`e14`の`4 / 調査AG余剰: かつ非喫煙者」, 抽出条件は「子供の数が3人, 集計内容は「年齢の合計」です。) → 決着不能: 第3判定「抽出条件: childrenが3かつsmokerがno、集計内容: ageの合計」がどちらの候補とも不一致 — 棄権",0.00
78,ひがし丘の契約条件において、ACTHが200時間を超えた場合の精算方法に関する規定内容を答えてください。,"ACTHが200時間を超えた場合の特別な精算規定はなく、実績工数に時間単価25,000円(税別)を乗じ消費税を加算して月次で精算する(30分単位・切上げ、上限なし)。",わかりません,ABSTAIN,fact_lookup,中（システム棄権）,"調査AGと検証AGが不一致(列挙不一致 — 調査AG欠落: **confidence:** 1.0, **evidence:**, **method:**, **回答:**, - 6.2 単価および見込金額: 「前項の見込金額は170時間を前提とした見込額であり, - 6.2 単価および見込金額: 「時間単価は25,000円(消費税別)とする。」, - 6.3 工数記録および精算方法: 「見込工数170時間はあくまで見積上の前提であり, ---, 1. `find_files`ツールで「ひがし丘」に関連するファイルを検索し, 2. `read_office`ツールで`契約書.docx`の内容を読み込んだ。, 3. 読み込んだ内容から「acth」「200時間」「精算」といったキーワードに関連する箇所を抽出し, `プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx`を特定した。, acth(実績工数)が200時間を超えた場合でも, acth(実績工数)が200時間を超えた場合の精算方法に関する規定は以下の通りです。, 「ひがし丘の契約条件」において, 「見込工数170時間はあくまで見積上の前提であり, この見込金額は契約総額を固定するものではありません。最終請求額は, これに消費税を加算した金額が最終請求額となる。, これに消費税を加算した金額とする。」, これに消費税を加算した金額となります。, したがって, その実績工数に基づいて, また, プロジェクト/医療法人社団 蒼泉会 ひがし丘総合病院/01.契約/契約書.docx, 契約書「6.2 単価および見込金額」および「6.3 工数記録および精算方法」によると, 契約総額を固定するものではない。最終請求額は, 実績工数がこれを上回りまたは下回る場合でも, 実績工数に時間単価(25,000円/時間, 実績工数に時間単価25,000円(消費税別)を乗じ, 実績工数に時間単価を乗じ, 想定総工数は170時間とされていますが, 時間単価25,000円(消費税別)を乗じ, 本契約の料金モデルは前項各号に従い処理する。」, 本契約の料金モデルは前項各号に従い処理する」と明記されています。, 消費税を加算した金額が最終的な精算額となります。, 消費税別)を乗じ, 特に「6.2 単価および見込金額」と「6.3 工数記録および精算方法」 / 調査AG余剰: acth(実績工数)が200時間を超えた場合の特別な精算方法は規定されていません。契約書によると, ひがし丘の契約条件において, 想定総工数の170時間を超えた場合でも, 料金モデルは時間単価25,000円(税別)の実績工数に基づく事後精算(タイムアンドマテリアル)となっており, 超過分を含めた実績工数に時間単価を乗じて精算されます。) → 決着不能: 第3判定「実績工数に時間単価（25,000円/時間）を乗じ、消費税を加算した金額で精算する。」がどちらの候補とも不一致 — 棄権",0.00
79,恒一会 かえで総合病院の計画フォルダ内において、データアステル側の担当者のうち、1タスク当たりの想定工数（想定工数 ÷ 担当タスク数）が最も大きい人のフルネームと、その1タスク当たりの想定工数を小数第2位で答えてください。ファイルに鍵がかかっている場合は社内管理を確認してください。,池田 直哉、7.00,わかりません,ABSTAIN,fact_lookup,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
80,東都人材プラットフォームのtrain.xlsxにおいて、Sheet2の黄色にハイライトされたセルの抽出条件と集計内容を答えてください。,Gender=Male、target=3、Age=30-34、Profession=Software Engineerで抽出されたデータに対する個数,わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
81,京橋信用ソリューションズとの契約書において、太字で記載されている部分を抽出してください。,契約締結日兼効力発生日：2025-10-01,わかりません,ABSTAIN,document_extract,中（システム棄権）,"調査AGと検証AGが不一致(列挙不一致 — 調査AG欠落: **導出手順**:, **根拠**:, ---, 1. `find_files` ツールで「京橋信用ソリューションズ」に関連するファイルを検索しました。, 2. 検索結果から, 3. `read_office` ツールを使用して, 4. 抽出されたテキストの中から, `read_office` ツールで「プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx」を読み込んだ結果, 「【太字箇所】」というプレフィックスが付与された部分を太字箇所として特定し, 「京橋信用ソリューションズとの契約書」において, その内容を回答として抽出しました。, 太字で記載されている部分は以下の通りです。, 契約書と思われる「プロジェクト/京橋信用ソリューションズ株式会社/01.契約/契約書.docx」を特定しました。, 当該部分が太字であることが示されています。, 書式保持テキストとして「【太字箇所】契約締結日兼効力発生日:2025-10-01」という記述が確認されました。この「【太字箇所】」というプレフィックスから, 特定した契約書ファイルの内容を抽出しました。) → 決着不能: 第3判定「わかりません」がどちらの候補とも不一致 — 棄権",0.00
82,蒼泉会 ひがし丘総合病院のスケジュール.xlsxにおいて、WBSシートでオレンジ色にハイライトされている行のタスクIDをすべて教えてください。,T02、T14、T16、T22、T24,わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
83,蒼樹会 みなみ野女性医療センターのtrain.xlsxにおいて、回帰分析の結果として記載されている係数をindex=1770のデータに当てはめたときの予測値はいくつですか。小数第5位まで答えてください。,0.38317,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 決着不能: 第3判定「0.23988」がどちらの候補とも不一致 — 棄権,0.00
84,東都人材プラットフォームの最終報告書で分析結果が記載されている中で、モデル毎のF1スコアがランキング形式で記載されているページ数を教えてください。,5,わかりません,ABSTAIN,fact_lookup,中（システム棄権）,調査AGと検証AGが不一致(検証AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が検証AGを支持(両者とも該当なし(棄権)で一致),0.00
85,青葉バイオメディカル機器の最終報告において、設定されたKPIとして未達成とされている項目を挙げてください。,該当なし,わかりません,ABSTAIN,document_extract,中（システム棄権）,"調査AGと検証AGが不一致(列挙不一致 — 調査AG欠落: 未達成のkpi項目はありません。 / 調査AG余剰: 最終報告書によると, 未達成の項目はありません。, 設定された全6項目のkpiはすべて達成されており) → 決着不能: 第3判定「青葉バイオメディカル機器の最終報告において、未達成とされているKPI項目はありません。全6項目のKPIすべてが「達成」と評価されています。」がどちらの候補とも不一致 — 棄権",0.00
86,各案件のPP・契約書・PLAN・FRにおいて、DA側の実施体制として役割付きで記載されている人物は全部で何人ですか。,19,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
87,完了案件のうち、社内管理のAPRでAPR-M1に該当し、かつ顧客データのサンプル数が10000行以上の案件を、案件略称ですべて挙げてください。,AYM,わかりません,ABSTAIN,enum_set,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
88,蒼樹会 みなみ野女性医療センターの提案書内のスケジュール案において、第5週目に実施することになっている項目は何ですか。,解釈・業務示唆整理,a88,MATCH,document_extract,中（システム正答）,調査AGと検証AGが不一致(列挙不一致 — 調査AG余剰: 最終化・報告) → 第3判定が検証AGを支持(正規化テキストが一致),1.00
89,京橋信用ソリューションズのスケジュール.xlsxにおいて、フェーズNo6にて最後に開始するタスク名は何ですか。,最終報告・成果物提出・検収会,a89,WRONG,fact_lookup,中（システム過信誤り）,調査AGと検証AGが一致 — 採用(正規化テキストが一致),1.00
90,青潮モビリティサービスのスケジュール.xlsxにおいて、バッファとして使用した工数の合計は何時間ですか。,8時間,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が調査AGを支持(両者とも該当なし(棄権)で一致),0.00
91,京橋信用ソリューションズの顧客データにおいて、目的変数と最も強い負の相関を持つカラムは何ですか。,campaign,a91,MATCH,derived_calculation,高（システム正答）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が検証AGを支持(正規化テキストが一致),1.00
92,恒一会 かえで総合病院案件において、マイルストーンID、タスクID、アクションIDの3種類のIDは合計でいくつ発行されていますか。マークダウンファイル以外から算出してください。,49,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
93,蒼樹会 みなみ野女性医療センターのアクションIDA10の内容をそのまま抜き出してください。,前処理パイプライン実装：0値を疑似欠損（NA）扱いにする処理と補完ロジック（中央値等）を実装・ドキュメント化,わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが不一致(調査AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 決着不能: 第3判定「Use ordered features and class target encoding. | Use histogram boosting with the best exploratory regularization settings.」がどちらの候補とも不一致 — 棄権,0.00
94,蒼樹会 みなみ野女性医療センターのスケジュール.xlsxにおいて、MS3に紐づくタスクのうち、ビジネスアナリストが関わっているタスクIDを答えてください。,T09,わかりません,ABSTAIN,document_extract,中（システム棄権）,調査AGと検証AGが不一致(検証AGのみが該当なし(棄権) — 片方が値を主張し他方が棄権) → 第3判定が検証AGを支持(両者とも該当なし(棄権)で一致),0.00
95,青嶺不動産アセットマネジメントのスケジュール_r1.xlsxとスケジュール_r2.xlsxを比較したとき、未着手から完了への変更を除いて、案件遂行に関連する変更点を挙げてください。,T15（モデル評価・重要特徴量整理）の担当者に小林 直樹を追加,わかりません,ABSTAIN,version_diff,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
96,青葉与信マネジメントのチェックポイント2として設定されている内容に関連するタスクIDを教えてください。,T05、T06、T07、T08,わかりません,ABSTAIN,document_extract,中（システム棄権）,"調査AGと検証AGが不一致(値不一致: 調査AG「T05～T08」 vs 検証AG「T05, T06, T07, T08」) → 決着不能: 第3判定「T05、T06、T07、T08」がどちらの候補とも不一致 — 棄権",0.00
97,青葉バイオメディカル機器のtrain.xlsxにおいて、黄色ハイライトが交差している2つのセルの値の差の絶対値を計算してください。,272,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
98,TM案件において、RATEが変更されたのは何年何月1日からと想定されますか。,2025年7月1日,わかりません,ABSTAIN,fact_lookup,中（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
99,蒼樹会 みなみ野女性医療センターの糖尿病統計情報調査結果において、死亡率が最も高い都道府県の死亡率は、4番目に低い都道府県の死亡率の何倍ですか。小数第2位まで求めてください。,2.49,わかりません,ABSTAIN,derived_calculation,高（システム棄権）,調査AGと検証AGが一致 — 採用(両者とも該当なし(棄権)で一致),0.00
